1 x x || 00 || 000|000
1 x x || 00 || 000|000
1 x x || 00 || 000|000
1 x x || 00 || 000|000
1 x x || 00 || 000|000
1 x x || 00 || 000|000
1 x x || 00 || 000|000
1 x x || 00 || 000|000
0 0 0 || 00 || 000|000
0 0 0 || 00 || 000|000
0 0 0 || 00 || 000|000
0 0 0 || 00 || 000|000
0 1 0 || 00 || 000|000
0 1 0 || 00 || 000|000
0 1 0 || 01 || 000|100
0 1 0 || 01 || 000|100
0 0 0 || 01 || 000|110
0 0 0 || 01 || 000|110
0 0 0 || 01 || 000|111
0 0 0 || 01 || 000|111
0 0 1 || 00 || 000|000
0 0 1 || 00 || 000|000
0 0 1 || 10 || 001|000
0 0 1 || 10 || 001|000
0 0 0 || 10 || 011|000
0 0 0 || 10 || 011|000
0 0 0 || 10 || 111|000
0 0 0 || 10 || 111|000
0 1 1 || 00 || 000|000
0 1 1 || 00 || 000|000
0 1 1 || 11 || 001|100
0 1 1 || 11 || 001|100
0 0 0 || 11 || 011|110
0 0 0 || 11 || 011|110
0 0 0 || 11 || 111|111
0 0 0 || 11 || 111|111
0 0 0 || 00 || 000|000
0 0 0 || 00 || 000|000
0 0 0 || 00 || 000|000
0 0 0 || 00 || 000|000
0 0 0 || 00 || 000|000
0 0 0 || 00 || 000|000
0 0 0 || 00 || 000|000
0 0 0 || 00 || 000|000
